890201|22169|29170
890202|338|343
890203|1333|1370
890204|45|46
890205|2702|3262
890206|1449|1454
890207|3|3
890208|1064|1164
890209|292|295
890210|119|181
890211|1624|2804
890212|70|131
890218|2|2
890221|10|10
890222|12|12
890224|6|6
890225|94|98
890226|570|605
890227|1|1
890228|184|191
890230|98|98
890231|7|7
890233|1|1
890234|1|1
890235|238|246
890236|68|69
890237|1|1
890238|7|7
890239|1|1
890241|15|15
890242|478|480
890243|262|263
890244|29|29
890245|4|4
890246|64|65
890248|1|1
890250|967|1000
890252|64|64
890253|4|4
890254|19|19
890255|29|29
890259|238|238
890261|234|234
890263|388|389
890264|1|1
890266|539|548
890267|2|2
890268|121|121
890269|2|2
890271|139|145
890272|3|3
890273|129|135
890274|461|472
890275|2|2
890276|882|901
890278|375|407
890280|744|771
890281|6|6
890282|335|335
890283|478|489
890284|537|538
890286|6|6
890287|7|7
890288|15|15
890291|14|14
890292|3|3
890294|479|480
890297|2|2
890301|1601|1698
890302|5|5
890303|1564|2236
890304|45|52
890305|332|355
890306|19|19
890308|21|21
890309|1|1
890310|2|2
890311|11|14
890314|5|21
890315|9|41
890318|33|36
890319|1|1
890320|32|33
890321|82|91
890322|58|58
890324|30|47
890325|3|3
890326|2|2
890328|11|11
890329|3|3
890331|15|15
890335|5|5
890336|42|46
890337|9|9
890338|5|5
890339|10|10
890340|3|3
890342|28|28
890343|23|23
890344|6|6
890345|16|16
890348|2|2
890350|148|154
890353|13|14
890355|1|1
890356|1|1
890362|66|70
890363|1506|1624
890366|9|9
890368|15|15
890369|11|11
890371|3|3
890372|2|2
890373|7|7
890374|7|7
890376|629|650
890380|64|66
890381|8|8
890382|245|248
890383|11|11
890384|49|49
890386|7|7
890387|5|5
890388|46|46
890389|1|1
890392|9|9
890394|81|85
